Dataset,Radius,Turbines,Algorithm,Seed,Linear,Ideal,Cubic,IdealCubic,CubicCutout,IdealCubicCutout,GaussLoss004,GaussLoss0022,JensenLoss,MinSpacing,Feas5D,Feas6D
1,750,8,PSO,17,106932.32190746747,112365.89895787863,86528.61443706256,92850.69241538728,83090.38287351807,88406.46983346765,5303.240838056183,8809.839845427574,5433.577050411157,320.3881906450047,False,False
1,750,8,PSO,18,110698.31900776057,112365.89895787863,90878.75636401308,92850.69241538728,86847.29968323895,88406.46983346765,1984.9863792646502,3593.909767718811,1667.579950118059,355.45868974116723,False,False
1,750,8,PSO,19,111429.54987383081,112365.89895787863,91753.50031485125,92850.69241538728,87507.45419161813,88406.46983346765,957.676641327751,1317.6268877960538,936.3490840478189,343.0546797345564,False,False
1,750,8,PSO,20,111285.40618941268,112365.89895787863,91574.36143056171,92850.69241538728,87394.95220691407,88406.46983346765,1233.9925075732463,1491.6139543729078,1080.4927684659488,368.1780067147264,False,False
1,750,8,PSO,21,110968.29588002106,112365.89895787863,91204.90463514099,92850.69241538728,87087.10986850188,88406.46983346765,1371.792698632591,2199.642349820875,1397.603077857566,311.5032182690788,False,False
1,750,8,PSO,22,111137.14155477328,112365.89895787863,91399.38273453216,92850.69241538728,87256.75952258812,88406.46983346765,1334.3622872520646,1780.437867601402,1228.7574031053518,338.2906255394832,False,False
1,750,8,PSO,23,109768.19288546046,112365.89895787863,89790.15831317527,92850.69241538728,85942.18031537745,88406.46983346765,2323.967379854017,2907.6029145141947,2597.7060724181647,328.1860397146925,False,False
1,750,8,PSO,24,111052.91451742126,112365.89895787863,91301.0086439508,92850.69241538728,87174.05532692789,88406.46983346765,1639.154687468632,2928.7761981897347,1312.9844404573669,331.149528727443,False,False
1,750,8,PSO,25,111469.47164864485,112365.89895787863,91793.24687895927,92850.69241538728,87564.0206184705,88406.46983346765,1292.3174266337592,1664.7180767838581,896.4273092337826,317.2648520875263,False,False
1,750,8,PSO,26,110071.93077404937,112365.89895787863,90145.41134461226,92850.69241538728,86244.24677290375,88406.46983346765,2843.5502826411393,5243.95922277098,2293.96818382926,380.2205741823456,False,False
1,750,8,PSO,27,110924.51926173468,112365.89895787863,91158.0964557299,92850.69241538728,87025.74724779495,88406.46983346765,1520.4314353427326,1836.840808802226,1441.3796961439512,317.0386605815018,False,False
1,750,8,PSO,28,109476.16499896738,112365.89895787863,89443.34360793207,92850.69241538728,85667.88823065565,88406.46983346765,2847.9586024704477,4268.743896801418,2889.7339589112526,367.51393128428856,False,False
1,750,8,PSO,29,111034.68518645229,112365.89895787863,91284.57607366462,92850.69241538728,87135.07294791208,88406.46983346765,1378.5639281071926,2031.3616124739783,1331.2137714263372,363.56343027963237,False,False
1,750,8,PSO,30,110522.3198603817,112365.89895787863,90683.05441310992,92850.69241538728,86654.01526160298,88406.46983346765,1562.4841269287863,2039.814443179217,1843.5790974969277,319.01855225441517,False,False
1,750,8,SSA,1,108735.49868066593,112365.89895787863,88593.0551607372,92850.69241538728,84916.97295081556,88406.46983346765,4407.278438901732,6396.836675165032,3630.4002772126987,332.81027368909565,False,False
1,750,8,SSA,2,111912.75779085357,112365.89895787863,92316.26531415677,92850.69241538728,87978.45744768623,88406.46983346765,675.7786214276857,694.8882960421324,453.1411670250527,382.2692216364762,False,False
1,750,8,SSA,3,111207.87516898217,112365.89895787863,91481.09626619019,92850.69241538728,87327.24765454729,88406.46983346765,1528.9092480493273,2401.6354980147153,1158.023788896462,354.77322237649906,False,False
1,750,8,SSA,4,110881.01691069988,112365.89895787863,91091.79368879809,92850.69241538728,87024.33477946205,88406.46983346765,1679.5884386332036,2567.839000148917,1484.8820471787476,382.6864683312862,False,False
1,750,8,SSA,5,111789.50927785327,112365.89895787863,92168.83677538381,92850.69241538728,87868.45443671834,88406.46983346765,838.0370772093302,1242.2986102575815,576.3896800253569,371.7406859260584,False,False
1,750,8,SSA,6,111094.40748134944,112365.89895787863,91354.21563551204,92850.69241538728,87194.1964568562,88406.46983346765,1809.594960999806,2519.253273920287,1271.4914765291905,350.5594528989861,False,False
1,750,8,SSA,7,111568.97904428729,112365.89895787863,91907.16688922448,92850.69241538728,87667.26755969167,88406.46983346765,1198.0674982033088,1541.0555978076736,796.9199135913368,371.63440695566555,False,False
1,750,8,SSA,8,111456.596669944,112365.89895787863,91780.48190239341,92850.69241538728,87541.68979839473,88406.46983346765,1186.0249112298043,2028.9450557412492,909.3022879346245,343.8888802282998,False,False
1,750,8,SSA,9,111080.40340979298,112365.89895787863,91333.79117870134,92850.69241538728,87192.53184862822,88406.46983346765,1387.6056060191477,2322.621270173331,1285.4955480856443,346.71464679232065,False,False
1,750,8,SSA,10,111358.58421650092,112365.89895787863,91666.53402077495,92850.69241538728,87442.92001990069,88406.46983346765,1376.5289273475646,1874.9473114426364,1007.3147413777042,323.2834022201983,False,False
1,750,8,SSA,11,111759.53326873384,112365.89895787863,92137.21352487279,92850.69241538728,87829.10938832625,88406.46983346765,948.768025861209,1180.1630174506718,606.3656891447899,341.4849549144432,False,False
1,750,8,SSA,12,111236.08730282405,112365.89895787863,91514.38600682933,92850.69241538728,87352.93615550386,88406.46983346765,1296.0891539448785,1738.764768732217,1129.811655054582,352.9935060832173,False,False
1,750,8,SSA,13,110926.97308640578,112365.89895787863,91149.41019447698,92850.69241538728,87058.63647475457,88406.46983346765,2063.659108320411,3776.2454359434923,1438.9258714728494,372.10198395340876,False,False
1,750,8,SSA,14,111866.07612240974,112365.89895787863,92263.48672192656,92850.69241538728,87928.7213438246,88406.46983346765,928.1477609809663,1160.6792320206732,499.82283546889084,335.5002908114684,False,False
1,750,8,SSA,15,110338.08776323414,112365.89895787863,90462.0561771704,92850.69241538728,86485.82576376783,88406.46983346765,2531.3013138330134,4363.017781061033,2027.8111946444842,335.64447781937764,False,False
1,750,8,SSA,16,111374.79105149223,112365.89895787863,91677.92203579553,92850.69241538728,87483.01250976333,88406.46983346765,1363.3407566957321,1800.2434932809992,991.1079063864017,363.86463373223063,False,False
1,750,8,SSA,17,111591.73465788882,112365.89895787863,91938.72479244597,92850.69241538728,87673.50742260106,88406.46983346765,1274.9822856020328,1666.4608722486882,774.1642999898031,323.2558949199838,False,False
1,750,8,SSA,18,111622.38448562259,112365.89895787863,91975.7011093121,92850.69241538728,87700.65990650174,88406.46983346765,1287.5176783949719,1640.8295270004164,743.5144722560362,311.3502745825208,False,False
1,750,8,SSA,19,111074.98583010833,112365.89895787863,91323.98757862306,92850.69241538728,87203.78452612279,88406.46983346765,2004.4450843285886,3085.121381385572,1290.9131277702982,322.12191855229196,False,False
1,750,8,SSA,20,111040.0578893445,112365.89895787863,91282.06268402888,92850.69241538728,87167.95468004976,88406.46983346765,1635.3346565937973,2744.697899538616,1325.8410685341223,334.0263778236771,False,False
1,750,8,SSA,21,111074.76755764094,112365.89895787863,91335.24689316971,92850.69241538728,87164.9557616643,88406.46983346765,1548.7394803228963,2011.013769524594,1291.1314002376894,343.0803975292835,False,False
1,750,8,SSA,22,111638.30254517945,112365.89895787863,91992.50223890046,92850.69241538728,87719.8137748728,88406.46983346765,1242.629501286312,1948.778128998616,727.5964126991748,366.97103765932343,False,False
1,750,8,SSA,23,111876.22096333781,112365.89895787863,92274.21496965762,92850.69241538728,87941.27415546979,88406.46983346765,831.5451625349233,980.586397531486,489.6779945408198,332.99775686001476,False,False
1,750,8,SSA,24,111820.18870605661,112365.89895787863,92208.94566766472,92850.69241538728,87885.62098652321,88406.46983346765,938.4838201837265,1219.7766615883447,545.7102518220199,373.76971441869586,False,False
1,750,8,SSA,25,111381.83947799174,112365.89895787863,91689.63756931084,92850.69241538728,87476.67449608477,88406.46983346765,1282.9199528337485,1554.0610109834088,984.0594798868842,378.93491154270106,False,False
1,750,8,SSA,26,111588.28994937125,112365.89895787863,91933.78437733816,92850.69241538728,87670.90934921762,88406.46983346765,1590.50303843648,2061.693627404471,777.6090085073811,361.5904422081937,False,False
1,750,8,SSA,27,110923.86353149805,112365.89895787863,91151.63910528178,92850.69241538728,87037.14592560873,88406.46983346765,2195.443201023416,3806.0404549493396,1442.0354263805784,319.9396108716061,False,False
1,750,8,SSA,28,111786.63948781302,112365.89895787863,92170.25197610466,92850.69241538728,87851.59007822002,88406.46983346765,994.5787607121601,1289.1102256242157,579.2594700656045,338.8425024343129,False,False
1,750,8,SSA,29,110829.07655141753,112365.89895787863,91036.48481856636,92850.69241538728,86961.87792378117,88406.46983346765,1770.453659772611,3067.7258266541176,1536.8224064610986,332.37877021089827,False,False
1,750,8,SSA,30,111279.98433239832,112365.89895787863,91565.7174295338,92850.69241538728,87396.87206976226,88406.46983346765,1118.947913930897,1598.095105704575,1085.9146254803054,355.3662506086726,False,False
1,1000,8,DE,1,110993.7046133595,112365.89895787863,91232.6618870847,92850.69241538728,87107.45130461406,88406.46983346765,982.4021191722422,1190.3401884319028,1372.1943445191282,350.36537323619825,False,False
1,1000,8,DE,2,111477.51791986675,112365.89895787863,91808.63779516477,92850.69241538728,87556.28947779744,88406.46983346765,693.5365208718431,1096.4964979156648,888.3810380118812,308.66714174285,False,False
