Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,1000,8,18,112006.61009000959,359.28886786903604,0.0,True,0.6284918229999903,963.1355 269.0167;-659.8563 671.8731;301.0882 -953.5963;145.8859 -482.2528;748.5219 -59.2180;505.1248 838.5967;-911.7466 -286.0158;-206.9328 -873.4650
4D,False,100,3030,1,1000,8,19,111872.60811232791,493.29084555071313,0.0,True,0.652687750000041,690.4336 -723.3954;165.0764 573.1159;898.0287 80.7207;-52.1462 -190.4962;-789.8509 -608.2948;-47.4039 -960.5588;336.2560 142.4737;-353.2010 -807.1113
4D,False,100,3030,1,1000,8,20,111834.98309663696,530.915861241665,0.0,True,0.636088005999909,974.2674 -84.7302;-3.7761 -999.9929;-287.9972 -673.8054;237.9241 935.8078;-246.9280 969.0338;-951.0675 -288.4603;603.6314 -538.8029;231.2582 -286.0921
4D,False,100,3030,1,1000,8,21,112084.57491896693,281.32403891169815,0.0,True,0.6453175949999377,-794.9755 584.9902;368.0250 -735.5683;349.2439 754.5173;715.9654 -673.2177;-140.0008 -990.0312;-168.8654 423.0266;-802.5153 -578.9720;978.3668 -124.5338
4D,False,100,3030,1,1000,8,22,111999.7179275224,366.18103035622335,0.0,True,0.6399499870000227,547.5094 24.7611;810.9420 544.3686;-44.6333 -998.4243;242.1115 638.4985;-827.6410 332.7418;-984.8243 -173.5542;-6.2438 999.9805;-407.8497 292.9099
4D,False,100,3030,1,1000,8,23,112056.80279760032,309.09616027830634,0.0,True,0.6897567190000018,583.2136 812.3188;-945.0899 -202.0992;-154.1336 987.4090;623.1252 -772.3146;-648.9277 515.7198;256.4175 585.6703;889.3354 164.9624;-420.2274 -99.6047
4D,False,100,3030,1,1000,8,24,111998.84334585897,367.0556120196561,0.0,True,0.6595133099999657,-247.5844 -794.0379;-495.4294 -236.5178;-872.1033 -67.1001;-216.7412 841.2525;-669.5139 227.1078;546.3888 340.0074;289.4912 -700.2460;819.9203 99.0029
4D,False,100,3030,1,1000,8,25,112100.20778282823,265.6911750503932,0.0,True,0.6440066820000538,-55.5162 -472.5739;-979.6220 190.2646;-723.6850 -642.0074;-351.8135 -917.3630;342.2219 3.0734;917.4097 -210.9455;560.4888 -827.5875;577.9648 800.4385
4D,False,100,3030,1,1000,8,26,112076.29842282586,289.6005350527703,0.0,True,0.6550209660000519,-235.8404 -84.8264;217.2624 916.2950;-930.2338 76.4593;979.3387 -107.6330;-514.3354 -645.9842;700.6469 713.4691;-62.3465 284.4927;226.6441 -861.4193
4D,False,100,3030,1,1000,8,27,112017.6159120502,348.28304582842975,0.0,True,0.688153433000025,544.5123 -838.7460;-44.3667 911.0965;-518.5951 -829.9659;519.0394 338.3346;-542.1364 796.5364;697.4394 716.6438;995.9105 87.0104;-979.9805 -195.1362
