Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
SSA,1,500,2,8,6030,28091.474739469657,28091.474739469657,0.0,True,831.3270304954603,1.6800274660000127,28091.474739469657,23212.67310384682,22101.617458366913,28086.892675126335,23212.67310384682,22101.617458366913
SSA,1,500,2,9,6030,28091.474739469657,28091.474739469657,0.0,True,930.2483821333255,1.683194116999971,28091.474739469657,23212.67310384682,22101.617458366913,28087.608786555167,23212.67310384682,22101.617458366913
SSA,1,500,2,10,6030,28091.474739469657,28091.474739469657,0.0,True,746.8601907528453,1.577299148999998,28091.474739469657,23212.67310384682,22101.617458366913,28082.559292508497,23212.67310384682,22101.617458366913
SSA,1,500,2,11,6030,28091.474739469657,28091.474739469657,0.0,True,802.5172476285993,1.8064584869999865,28091.474739469657,23212.67310384682,22101.617458366913,28084.18321986692,23212.67310384682,22101.617458366913
SSA,1,500,2,12,6030,28091.474739469657,28091.474739469657,0.0,True,837.1597703310074,1.6880987669999854,28091.474739469657,23212.67310384682,22101.617458366913,28086.719007241187,23212.67310384682,22101.617458366913
SSA,1,500,2,13,6030,28091.474739469657,28091.474739469657,0.0,True,842.8927686562752,1.7015284739999856,28091.474739469657,23212.67310384682,22101.617458366913,28088.3521562143,23212.67310384682,22101.617458366913
SSA,1,500,2,14,6030,28091.474739469657,28091.474739469657,0.0,True,849.2660358554353,1.6343766089999576,28091.474739469657,23212.67310384682,22101.617458366913,28086.78154019136,23212.67310384682,22101.617458366913
SSA,1,500,2,15,6030,28091.474739469657,28091.474739469657,0.0,True,792.834107924548,1.7179381470000408,28091.474739469657,23212.67310384682,22101.617458366913,28085.890389547065,23212.67310384682,22101.617458366913
SSA,1,500,2,16,6030,28091.474739469657,28091.474739469657,0.0,True,878.6572178091657,1.709785011000008,28091.474739469657,23212.67310384682,22101.617458366913,28087.609909234518,23212.67310384682,22101.617458366913
SSA,1,500,2,17,6030,28091.474739469657,28091.474739469657,0.0,True,865.1187878973958,1.725793293000038,28091.474739469657,23212.67310384682,22101.617458366913,28085.693763178348,23212.67310384682,22101.617458366913
SSA,1,500,2,18,6030,28091.474739469657,28091.474739469657,0.0,True,903.1067773355217,1.589628490999985,28091.474739469657,23212.67310384682,22101.617458366913,28088.92340577629,23212.67310384682,22101.617458366913
SSA,1,500,2,19,6030,28091.474739469657,28091.474739469657,0.0,True,811.4923734209411,1.7411877549999986,28091.474739469657,23212.67310384682,22101.617458366913,28086.370924408726,23212.67310384682,22101.617458366913
SSA,1,500,2,20,6030,28091.474739469657,28091.474739469657,0.0,True,786.9043587336737,1.6365102440000214,28091.474739469657,23212.67310384682,22101.617458366913,28085.7546813147,23212.67310384682,22101.617458366913
SSA,1,500,2,21,6030,28091.474739469657,28091.474739469657,0.0,True,842.1876091076725,1.692968223000037,28091.474739469657,23212.67310384682,22101.617458366913,28049.428091443915,23212.67310384682,22101.617458366913
SSA,1,500,2,22,6030,28091.474739469657,28091.474739469657,0.0,True,744.055643558582,1.707102367999994,28091.474739469657,23212.67310384682,22101.617458366913,28086.957853549444,23212.67310384682,22101.617458366913
SSA,1,500,2,23,6030,28091.474739469657,28091.474739469657,0.0,True,864.8030916931463,1.7409570990000134,28091.474739469657,23212.67310384682,22101.617458366913,28087.38763551153,23212.67310384682,22101.617458366913
SSA,1,500,2,24,6030,28091.474739469657,28091.474739469657,0.0,True,944.229654847025,1.7143305010000065,28091.474739469657,23212.67310384682,22101.617458366913,28086.74789472946,23212.67310384682,22101.617458366913
