Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
SSA,linear,2,750,8,12,2123.40098081404,56399.62617666328,True
SSA,linear,2,750,8,13,2043.0553346441957,56479.971822833126,True
SSA,linear,2,750,8,14,2172.708896186763,56350.31826129056,True
SSA,linear,2,750,8,15,1646.1556231460418,56876.87153433128,True
SSA,linear,2,750,8,16,2042.6738734103928,56480.35328406693,True
SSA,linear,2,750,8,17,1509.9111247497713,57013.11603272755,True
SSA,linear,2,750,8,18,1923.9499591132335,56599.07719836409,True
SSA,linear,2,750,8,19,2192.3989320580877,56330.628225419234,True
SSA,linear,2,750,8,20,1673.6738618121017,56849.35329566522,True
SSA,linear,2,750,8,21,1790.2104160119852,56732.816741465336,True
SSA,linear,2,750,8,22,1477.4409807285847,57045.58617674874,True
SSA,linear,2,750,8,23,1733.4196772317591,56789.60748024556,True
SSA,linear,2,750,8,24,1766.944259039301,56756.08289843802,True
SSA,linear,2,750,8,25,1282.5908131173273,57240.436344359994,True
SSA,linear,2,750,8,26,1529.632981507144,56993.39417597018,True
SSA,linear,2,750,8,27,1879.435412640698,56643.59174483662,True
SSA,linear,2,750,8,28,1919.9679170977397,56603.05924037958,True
SSA,linear,2,750,8,29,1463.9445223481016,57059.08263512922,True
SSA,linear,2,750,8,30,1469.051341318911,57053.97581615841,True
SSA,linear,2,1000,8,1,1087.1946801492886,57435.83247732803,True
SSA,linear,2,1000,8,2,1110.0066825756658,57413.020474901656,True
SSA,linear,2,1000,8,3,611.6939200579582,57911.33323741936,True
SSA,linear,2,1000,8,4,774.1235636495912,57748.90359382773,True
SSA,linear,2,1000,8,5,1066.0207908767843,57457.00636660054,True
SSA,linear,2,1000,8,6,1142.8404199496435,57380.18673752768,True
SSA,linear,2,1000,8,7,818.9559207877246,57704.0712366896,True
SSA,linear,2,1000,8,8,716.451108868896,57806.576048608425,True
SSA,linear,2,1000,8,9,722.6281381549925,57800.39901932233,True
SSA,linear,2,1000,8,10,1170.5037411166122,57352.52341636071,True
SSA,linear,2,1000,8,11,718.8049056850141,57804.22225179231,True
SSA,linear,2,1000,8,12,1158.1526813820456,57364.874476095276,True
SSA,linear,2,1000,8,13,1008.9841547763062,57514.043002701015,True
SSA,linear,2,1000,8,14,1458.306638458358,57064.72051901896,True
SSA,linear,2,1000,8,15,937.9614903150432,57585.06566716228,True
SSA,linear,2,1000,8,16,964.2599695489553,57558.767187928366,True
SSA,linear,2,1000,8,17,893.7123640569407,57629.31479342038,True
SSA,linear,2,1000,8,18,1064.1323932550804,57458.89476422224,True
SSA,linear,2,1000,8,19,745.9314848603608,57777.09567261696,True
SSA,linear,2,1000,8,20,611.0116837623646,57912.01547371496,True
SSA,linear,2,1000,8,21,798.957404260691,57724.06975321663,True
SSA,linear,2,1000,8,22,1146.47507725365,57376.55208022367,True
SSA,linear,2,1000,8,23,1065.964857511448,57457.06229996587,True
SSA,linear,2,1000,8,24,1116.863576273572,57406.16358120375,True
SSA,linear,2,1000,8,25,1354.639728527647,57168.387428949674,True
